Image,PSNR,SSIM
669.png,15.566015358831207,0.3733273435157071
547.png,14.195345136804413,0.361257588820783
1.png,19.008876111946414,0.575391342525613
748.png,11.887515543816827,0.3455971653121009
55.png,14.268757533425216,0.3791596436237912
778.png,15.01152036748666,0.47365797803951115
23.png,15.050049985903819,0.3238705761684411
111.png,15.73420380988262,0.39876091811715547
146.png,15.403056691457703,0.38314365251014865
493.png,12.310399386080174,0.4157286335039399
22.png,19.491843633231326,0.5170709288412727
780.png,10.795575835507291,0.24531034670007779
79.png,15.164242050979052,0.4447046385767223
179.png,9.967894155480163,0.3142594373879534
665.png,14.265949760260472,0.24749205694260634
